PROBEID	SYMBOL	ENSEMBL	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val	B	IPF.1	IPF.2	IPF.3	IPF.4	Control.1	Control.2	Control.3
TC01001581.hg.1	NPL	ENSG00000135838	N-acetylneuraminate pyruvate lyase	0.969553230455526	6.38126251462927	4.95309590727898	0.00282012325979723	0.31190505499635	-1.11550860446216	6.78938329553995	6.64707111557364	7.27044192399803	6.48024497561494	5.75038923866218	5.97668737946019	5.75461967355597
TC01001602.hg.1	HMCN1	ENSG00000143341	hemicentin 1	1.00814410396142	7.58034190702682	5.65195833003197	0.00147102964476195	0.305166707401455	-0.542209069735143	8.25586935626761	7.59275105178966	8.03163486342231	8.16935939199015	6.81204798180059	7.10350740866843	7.09722329524901
TC01001603.hg.1	PRG4	ENSG00000116690	proteoglycan 4	3.47601233552151	7.4881103807978	4.17711921252052	0.00626771769585217	0.372293288726532	-1.84918152743003	9.71097307213485	9.37924514534006	10.0045259715124	6.81657562366932	5.34651117614784	5.11478561278221	6.04415606399789
TC01001720.hg.1	CTSE	ENSG00000196188	cathepsin E	1.63393557029952	9.93794109577911	6.04536368681089	0.00104599875534285	0.283087753470174	-0.252487959057109	10.8600004763027	10.5672842803978	10.1923417875618	10.9331702450819	9.29381907887978	9.22036871462077	8.49860308760904
TC01002704.hg.1	C8B	ENSG00000021852	complement C8 beta chain	-1.28211055311695	4.30474729848521	-4.95404631691334	0.00281750995107772	0.31190505499635	-1.11467471811198	3.8784564438276	3.69134656592143	3.76222756764344	3.68905481120504	4.97345445063094	4.50543704114555	5.63325420902249
TC01002826.hg.1	SYDE2	ENSG00000097096	synapse defective Rho GTPase homolog 2	-1.30522159354541	6.33894402199833	-5.28497704225273	0.00205476291321759	0.305728016392511	-0.833475963716565	5.77446811284447	5.49744907596277	6.27175728554521	5.57457888184875	7.10599055919937	6.72656115512713	7.42180308346064
TC01002849.hg.1	GBP4	ENSG00000162654	guanylate binding protein 4	-1.28180050023143	8.66401938735921	-3.95383592677047	0.0080159979962274	0.386240200548589	-2.08047127036495	7.75744010216197	8.04585942168125	8.87705705232023	7.77834868716239	9.69526879800611	9.04134545850268	9.45281619167987
TC01003048.hg.1	LINC00622	ENSG00000260941	long intergenic non-protein coding RNA 622	-1.00921235390366	3.84729944585808	-5.82215201556284	0.00126659160994423	0.300696178317235	-0.414106275188709	3.55528873554522	3.0831393450549	3.67303273215024	3.34765864970426	4.44510203393338	4.19364327238662	4.63323135223194
TC01003125.hg.1	FMO5	ENSG00000131781	flavin containing dimethylaniline monoxygenase 5	-1.30071635778422	5.79324198016504	-6.45957336398565	0.000743631707548328	0.273636899122323	0.0291950088689381	5.36523545447888	5.10867126840834	5.62995839733787	4.83930332994785	6.72444172341263	6.39636571754442	6.48871797002532
TC01003211.hg.1	CTSK	ENSG00000143387	cathepsin K	1.98809341720948	7.75539357190339	6.58166107907898	0.00067469415168023	0.262062453415129	0.107925636905044	8.33217993630991	8.76585694104496	8.86835161495124	8.46334593909513	6.28724169143965	7.31084395710954	6.25993492337331
TC01003226.hg.1	SELENBP1	ENSG00000143416	selenium binding protein 1	-1.081281057867	7.86231203522191	-6.33740294153616	0.000820867411280765	0.276345366354875	-0.0515074461850036	7.37047944164517	7.42528477944434	7.66810869815054	7.13175055101846	8.64401201526962	8.62553536480955	8.1710133962157
TC01003405.hg.1	CD84	ENSG00000066294	CD84 molecule	1.34472420267155	6.52995145195771	8.87088957914654	0.000136964210285152	0.241455914028082	1.28549931629051	7.23904529598242	6.93490777000067	7.21772432230881	7.03336990983302	5.50677812560953	6.0702758823892	5.70755885758031
TC01003411.hg.1	ITLN2	ENSG00000158764	intelectin 2	-1.14911625437335	5.90766922420499	-5.31467006172419	0.00199873252372807	0.305728016392511	-0.809121271344291	5.16405741089584	5.394460929821	5.84612711393197	5.25611786324539	6.33704893807355	6.44077866568735	6.9150936477798
TC01003452.hg.1	OLFML2B	ENSG00000162745	olfactomedin like 2B	0.945629738896057	7.02727268710794	3.86033321567063	0.00890593180444777	0.390137777223824	-2.1800536994774	7.44777732815447	8.00276993126194	6.99603239641035	7.28359064499824	6.4084879917874	6.68275881233803	6.36949170480515
TC01003501.hg.1	SELE	ENSG00000007908	selectin E	3.72478596006772	6.7377203710582	4.58566677722353	0.00407286394565358	0.354513439855	-1.44956301162197	7.98110071803058	10.2214822167735	6.68785572614897	8.44579018339587	4.8255887073856	4.7092810724884	4.2929439731845
TC01005141.hg.1	CHRM3	ENSG00000133019	cholinergic receptor muscarinic 3	-1.06359367420704	3.75625246538244	-9.05729675061501	0.000122251928982253	0.241455914028082	1.36065984862047	3.43507443372378	3.17157649335937	3.40593183306156	3.18912365988727	4.35531586487761	4.17084572773449	4.56589924503301
TC01005156.hg.1	KIF26B	ENSG00000162849	kinesin family member 26B	0.823949998200344	4.56713948540757	4.00109108049267	0.00760450768327494	0.380282394807173	-2.03075582318121	4.92321872139807	4.94836576646582	4.44782868996681	5.36163047500019	4.08868358536207	4.13451306720543	4.06573609245463
TC01005156.hg.1	KIF26B	ENSG00000281216	kinesin family member 26B	0.823949998200344	4.56713948540757	4.00109108049267	0.00760450768327494	0.380282394807173	-2.03075582318121	4.92321872139807	4.94836576646582	4.44782868996681	5.36163047500019	4.08868358536207	4.13451306720543	4.06573609245463
TC01005668.hg.1	S1PR1	ENSG00000170989	sphingosine-1-phosphate receptor 1	-0.816146935370073	5.36941066864295	-4.84457788819053	0.00313750355050455	0.320535314275204	-1.21173454958387	5.14237439472713	5.38535791734235	4.85496884907054	4.6958324813688	5.81206841461153	5.84560041523811	5.84967220814219
TC01006291.hg.1	CFH	ENSG00000000971	complement factor H	1.37469806321242	8.88907809553146	8.83843440603252	0.000139731064656051	0.241455914028082	1.27214422421063	9.72207296520669	9.63938677806679	9.45473449540208	9.09674339467157	8.02863353967081	8.13950466264138	8.1424708330609
TC02000219.hg.1	LTBP1	ENSG00000049323	latent transforming growth factor beta binding protein 1	1.01232490842516	8.29865831678016	8.69908702486704	0.00015237286813037	0.241455914028082	1.2138734347558	8.95242081688512	8.68911064571347	8.50976704289322	8.77874889035768	7.69813274588602	7.85613549884784	7.60629257687779
TC02000270.hg.1	PLEKHH2	ENSG00000152527	pleckstrin homology, MyTH4 and FERM domain containing H2	-1.2687989666447	7.48932232056527	-4.75175351185132	0.00344151108786931	0.326624318156175	-1.2956525925392	6.81856637156269	6.55321014494296	7.50932119883424	6.90110762410173	8.34723872700807	7.83770090296967	8.45811127453755
TC02000281.hg.1	EPAS1	ENSG00000116016	endothelial PAS domain protein 1	-1.26870432979931	10.4123990770191	-4.40574312404127	0.00490965202878139	0.354513439855	-1.62183109684107	9.90438055106295	9.73252782202854	10.5327527095733	9.30501351718424	11.0948536021574	11.011494599671	11.3057707374564
TC02000448.hg.1	ACTG2	ENSG00000163017	actin gamma 2, smooth muscle	0.931545727534766	6.12427433018704	3.92350052452256	0.00829330320959985	0.389574765369919	-2.11260281754173	6.68554732211638	6.70385876804495	6.61872970777384	6.08589705572973	6.02095955892363	5.48888638480583	5.26604151391491
TC02000535.hg.1	CYTOR	ENSG00000222041	cytoskeleton regulator RNA	0.84773305811008	6.32699305643253	7.28354876293557	0.000396058689179077	0.241455914028082	0.525719897994888	6.69038538628887	6.83952341581617	6.4303070747852	6.80101301988572	5.69686131810285	5.91774740656561	5.91311377358327
TC02000694.hg.1	ACOXL	ENSG00000153093	acyl-CoA oxidase like	-1.03653637426521	5.60153726897722	-5.59681231790316	0.00154520962364696	0.305728016392511	-0.584647154135662	5.37642877996143	4.71572001022126	5.33240888948557	5.20467189750025	6.27659660451571	5.9876111649164	6.3173235362399
TC02000758.hg.1	EPB41L5	ENSG00000115109	erythrocyte membrane protein band 4.1 like 5	-1.83358621313492	7.03795185971025	-5.14163262969881	0.0023518021636199	0.31190505499635	-0.953058196362743	6.417445195693	5.9282845952688	6.81191652261729	5.85087047417346	8.24832524229661	7.44819819261855	8.56062279530401
TC02000954.hg.1	GALNT5	ENSG00000136542	polypeptide N-acetylgalactosaminyltransferase 5	-1.09941283974066	6.41346271062481	-4.10962057687497	0.00674629508901873	0.380282394807173	-1.9181329551096	6.11579462105518	5.42301605851838	6.37318116945882	5.85715126819717	7.23281528093872	6.65974541530575	7.23253516089967
TC02000998.hg.1	NOSTRIN	ENSG00000163072	nitric oxide synthase trafficking	-0.926273605215726	6.40774573414872	-5.01683089972299	0.00265083008095509	0.31190505499635	-1.05992599706428	5.88616692585516	6.04186268010021	6.35321409052407	5.7618416311742	6.85282969862336	6.7221607710151	7.23614434174896
TC02000998.hg.1	NOSTRIN	ENSG00000275326	nitric oxide synthase trafficking	-0.926273605215726	6.40774573414872	-5.01683089972299	0.00265083008095509	0.31190505499635	-1.05992599706428	5.88616692585516	6.04186268010021	6.35321409052407	5.7618416311742	6.85282969862336	6.7221607710151	7.23614434174896
TC02001105.hg.1	COL3A1	ENSG00000168542	collagen type III alpha 1 chain	2.28788581408794	8.88500063077874	6.21645417352358	0.000906569460291637	0.282791007712306	-0.133341206713795	10.5320910927132	9.71975135311	9.15909368057704	10.0511563637226	7.1672710770508	8.00156592187556	7.56407492640197
TC02001105.hg.1	MIR3606	ENSG00000284180	microRNA 3606	2.28788581408794	8.88500063077874	6.21645417352358	0.000906569460291637	0.282791007712306	-0.133341206713795	10.5320910927132	9.71975135311	9.15909368057704	10.0511563637226	7.1672710770508	8.00156592187556	7.56407492640197
TC02002136.hg.1	AFF3	ENSG00000144218	AF4/FMR2 family member 3	-1.06062967166412	6.49200398377115	-7.07745566852869	0.000461033101875011	0.244808577095631	0.408934765213014	6.30219823148661	5.75454879531823	6.23615798609874	5.85688862789968	7.10235513035648	7.08108071498643	7.11079840025191
TC02002194.hg.1	MALL	ENSG00000144063	mal, T cell differentiation protein like	-0.826060524723287	9.0142278258241	-12.9752638530084	1.65483127271432e-05	0.241455914028082	2.47792705795701	8.8134925026985	8.65937978312838	8.62135120393092	8.54658405687012	9.46309315278819	9.51739050123705	9.47830358011556
TC02002365.hg.1	NCKAP5	ENSG00000176771	NCK associated protein 5	-1.99737342571605	6.53204746477273	-3.79680501001492	0.00957363104519606	0.390137777223824	-2.24862925580077	5.67263328891142	5.29121402060684	6.84087938911071	4.89939443066301	7.73540912568943	7.07678056023516	8.20802143819254
TC02002480.hg.1	FAP	ENSG00000078098	fibroblast activation protein alpha	1.32871382525258	4.7906458847132	4.28314655638396	0.00559123852971743	0.358830104149098	-1.74255924551593	6.16465170461333	4.99118426468559	5.30309817313235	4.98144452542596	4.14552999790027	4.03536030133889	3.91325222589603
TC02002579.hg.1	ZNF385B	ENSG00000144331	zinc finger protein 385B	-1.38033496142697	5.57783214246384	-5.79479118581654	0.00129714241477945	0.300696178317235	-0.434411484842186	5.20813647040544	4.58950424827809	5.44860465855731	4.69879468731114	6.55686048066783	6.21415551004748	6.3287689419796
TC02002590.hg.1	PDE1A	ENSG00000115252	phosphodiesterase 1A	0.833903733298373	3.9981988948835	4.33951214974148	0.00526541398046942	0.354513439855	-1.68671341095627	4.24094394085306	4.71760512172871	4.51659113217335	3.94720464186179	3.58150472128897	3.60230682740809	3.38123587887052
TC02002591.hg.1	FRZB	ENSG00000162998	frizzled related protein	1.22613808379997	7.36393228777789	6.0661018101209	0.00102784810878118	0.282791007712306	-0.237830773374291	7.49922866355602	8.02644860327132	7.95645919459457	8.07554369048959	6.65126224234171	6.98188538325583	6.35669823693619
TC02002612.hg.1	COL5A2	ENSG00000204262	collagen type V alpha 2 chain	1.47469267702531	7.24984797029613	4.01932906295243	0.0074520814084661	0.380282394807173	-2.01167832291958	8.76668437971752	7.55091972567299	7.28212451064588	7.92770785433437	6.21281074806674	6.62301645720243	6.38567211643299
TC02002731.hg.1	ACADL	ENSG00000115361	acyl-CoA dehydrogenase long chain	-1.81163920085066	5.56427459028613	-6.29859055435018	0.000847310146022038	0.276345366354875	-0.0775554066521646	4.91885250280192	4.60383821732154	5.4307673075661	4.1979731319967	6.62740444050349	6.5180876170674	6.65299891474578
TC02002872.hg.1	ECEL1P2	ENSG00000244280	endothelin converting enzyme like 1 pseudogene 2	-0.875196757126806	5.5569839232465	-4.87871489130596	0.00303347622305005	0.318925549074503	-1.18124711296076	5.12593191454384	5.09106188011994	5.46444236808085	5.04616223230972	6.28795546633493	5.68683728634711	6.19649631498913
TC02003240.hg.1	SPTBN1	ENSG00000115306	spectrin beta, non-erythrocytic 1	-0.954468229154244	10.0927283864584	-4.22482281688098	0.00595255311938114	0.36399949096927	-1.80095557195286	9.82669014427556	9.74159792353916	10.0366094825036	9.12978474553651	10.5692073999015	10.5228148959608	10.8223941134915
TC02003335.hg.1	MTHFD2	ENSG00000065911	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase	0.844403856452322	7.19829295645068	3.94639498883882	0.00808304228897025	0.387203709122903	-2.08833709759485	7.83665793907662	7.43641290134493	7.19725282026501	7.77039763332015	6.48344220303561	7.06238502017289	6.60150217793956
TC02003743.hg.1	COL3A1	ENSG00000168542	collagen type III alpha 1 chain	2.13047265425266	8.84263386446012	5.98304473087496	0.00110279941930983	0.287337471059801	-0.296896294511403	10.4083675039885	9.59169750376875	9.06521190354318	9.95749738240173	7.3277133173867	8.05511961449048	7.49282982564146
TC02003744.hg.1	COL3A1	ENSG00000168542	collagen type III alpha 1 chain	2.3087252427484	9.57705174053726	6.09093615356662	0.00100658680592537	0.282791007712306	-0.22035725968367	11.2675873960128	10.4501272952201	9.84610274008222	10.7022042326883	7.83587897784115	8.71342295762586	8.22403858429039
TC02004598.hg.1	NCKAP5	ENSG00000176771	NCK associated protein 5	-2.00398700580865	7.15615711142515	-4.65937731498839	0.00377771707334621	0.340798824752259	-1.38065661790655	6.13502123858078	5.67722754721093	7.3357731574109	6.04120020682602	8.30285214069574	7.92265802164944	8.67836746760224
TC02004734.hg.1	PDE1A	ENSG00000115252	phosphodiesterase 1A	1.18380338961653	3.97715254512913	4.17149508367538	0.00630609855705675	0.372864633731595	-1.85489474424768	4.70762122248255	4.83743572221783	4.65040252370759	3.74252795145117	3.314067470865	3.44904585354722	3.13896707163256
TC02004836.hg.1	COL4A4	ENSG00000081052	collagen type IV alpha 4 chain	-1.51094265774676	6.42245864439169	-4.02995206736744	0.00736488167528114	0.380282394807173	-2.00059456848489	5.12156315644748	5.52825901568107	6.51340979913855	5.93641519301952	7.273591266015	6.8803219278196	7.70365015262063
TC02004852.hg.1	ECEL1P2	ENSG00000244280	endothelin converting enzyme like 1 pseudogene 2	-0.854769802703259	5.69685915101877	-4.25048005826284	0.00579045762647125	0.361051175582872	-1.77518977866036	5.25241327212918	5.04615307490484	5.66654234987887	5.35700824538518	6.37243392821198	5.8191807134734	6.36428247314796
TC03000006.hg.1	CNTN6	ENSG00000134115	contactin 6	-0.825735761828486	3.93472653632939	-4.61413673050965	0.00395587054554076	0.350241645376889	-1.42283454871057	3.52236155427355	3.43987158907734	3.90564056583694	3.45548541585231	4.6978669465085	4.10904604269305	4.41281364006401
TC03000157.hg.1	GPD1L	ENSG00000152642	glycerol-3-phosphate dehydrogenase 1 like	-0.84782772831717	7.81515909547427	-7.23215346461232	0.000411212231903644	0.241455914028082	0.497033584085569	7.4321893636418	7.29406003476708	7.72518824562655	7.35577977503222	8.41453706971585	8.1834344162944	8.30092476324199
TC03000468.hg.1	EPHA3	ENSG00000044524	EPH receptor A3	1.3776100746925	5.89774675941928	4.61135463384506	0.00396713354137101	0.350352178793627	-1.42544012592973	6.57898957689215	6.0332469940732	7.06529116787206	6.27507656974112	5.45292191557117	5.18220198774226	4.69649910404299
TC03000509.hg.1	TMEM45A	ENSG00000181458	transmembrane protein 45A	1.39162250851374	6.02280512365222	4.43067624655865	0.00478282915589741	0.354513439855	-1.59761148682673	6.57585681193851	7.39008581272503	6.0359298274442	6.47498662852471	5.32241090317106	5.10792396216497	5.25244191959706
TC03000607.hg.1	ARHGAP31	ENSG00000031081	Rho GTPase activating protein 31	-0.967250634890906	8.64283907346344	-6.88375754757675	0.000533567999631804	0.251345631813873	0.294805129806113	8.38872160466083	8.124231899918	8.4682376815854	7.93202116216228	9.23716144461775	9.10008751173547	9.24941220956438
TC03000742.hg.1	CLDN18	ENSG00000066405	claudin 18	-2.87739880558021	9.0411201127871	-4.42963011055713	0.00478807526614399	0.354513439855	-1.59862542855975	8.06689655736357	6.52506625899617	9.28503307702979	7.35480089104994	10.8914457114286	10.4492450047442	10.7153532888974
TC03000835.hg.1	P2RY1	ENSG00000169860	purinergic receptor P2Y1	-0.88431037206479	6.27032928946858	-3.82621223902962	0.00925783192331587	0.390137777223824	-2.21679357061277	6.337278538568	5.47660397934954	5.95593210897484	5.79554189315657	6.51497094083286	7.05544661075431	6.7565309546439
TC03000846.hg.1	MME	ENSG00000196549	membrane metalloendopeptidase	-2.10501151287891	6.93485682625137	-6.396396709381	0.000782473680636053	0.276345366354875	-0.0122950981739267	5.93586930415328	6.73359865026609	6.09590490419867	5.36546328145217	8.28010151965589	7.8464241241511	8.28663599988238
TC03001433.hg.1	CACNA2D2	ENSG00000007402	calcium voltage-gated channel auxiliary subunit alpha2delta 2	-1.85303578772727	7.59364058158329	-4.76506419406877	0.00339592702901528	0.326624318156175	-1.28352721071632	7.1053059587932	5.95484148233509	7.59164024464334	6.54614186160049	8.70548059221364	8.59827212422852	8.65380180726873
TC03001455.hg.1	TNNC1	ENSG00000114854	troponin C1, slow skeletal and cardiac type	-1.34691055042354	7.03968438195272	-4.55239632872773	0.00421458589554255	0.354513439855	-1.48098095175034	6.83289499383011	5.86699974205218	6.99413824701384	6.15571502990298	7.80254786083278	7.84291197379246	7.7825828262447
TC03001884.hg.1	CP	ENSG00000047457	ceruloplasmin	2.02118412053486	5.81812552026136	4.81620533880478	0.00322705995173374	0.321711104812538	-1.23722648515243	5.89182127253319	7.5653046543444	6.23575355243863	7.04450966550325	4.60559638639294	4.61440073337592	4.76949237724118
TC03001948.hg.1	LXN	ENSG00000079257	latexin	1.47833418513027	7.01992463147177	4.41052803489948	0.00488502137935946	0.354513439855	-1.6171744040744	8.45078870335862	7.77355942503371	7.26448757693109	7.12514999507267	6.26004274154254	6.0186471475119	6.24679683085182
TC03002106.hg.1	P3H2	ENSG00000090530	prolyl 3-hydroxylase 2	-1.53336118182335	6.49592853631397	-4.81985376411327	0.00321538256626003	0.321711104812538	-1.23394069188459	6.24265429153571	5.76486946532005	6.28118848949375	5.06638273006634	7.51297561585982	7.21260098080273	7.39082818111939
TC03002108.hg.1	CLDN1	ENSG00000163347	claudin 1	1.40734812161968	7.31356778977071	6.05426762683119	0.00103816098566581	0.282791007712306	-0.246187525192981	7.86696916185824	8.42551581421144	7.82564075437718	7.54874220855543	6.22972960931952	6.56363049336069	6.73474648671245
TC03003056.hg.1	MYLK	ENSG00000065534	myosin light chain kinase	1.48123861895709	8.1513462882279	5.05361474200622	0.0025584093732146	0.31190505499635	-1.02815822276554	9.05915230991702	9.1821062991122	8.64981386567397	8.25357888213482	7.76625196497958	7.04696154881337	7.1015591469643
TC03003223.hg.1	ZMAT3	ENSG00000172667	zinc finger matrin-type 3	1.02445863373905	6.05461712848579	5.25114184431134	0.0021208101117537	0.305728016392511	-0.86140116606415	6.61783810695974	6.11604129980631	6.60308746111599	6.63771644675664	5.15536807340457	5.48560628982229	5.76666222153501
TC03003289.hg.1	MUC4	ENSG00000145113	mucin 4, cell surface associated	2.26531420624585	9.14489383205017	7.39557239333646	0.000365212438358661	0.241455914028082	0.587261390912776	9.67688332346984	10.5632917047229	9.99519571651431	10.2276003656294	7.41021217925596	8.40400073249897	7.73707280225985
TC03003289.hg.1	MUC4	ENSG00000278468	mucin 4, cell surface associated	2.26531420624585	9.14489383205017	7.39557239333646	0.000365212438358661	0.241455914028082	0.587261390912776	9.67688332346984	10.5632917047229	9.99519571651431	10.2276003656294	7.41021217925596	8.40400073249897	7.73707280225985
TC03003289.hg.1	MUC4	ENSG00000276613	mucin 4, cell surface associated	2.26531420624585	9.14489383205017	7.39557239333646	0.000365212438358661	0.241455914028082	0.587261390912776	9.67688332346984	10.5632917047229	9.99519571651431	10.2276003656294	7.41021217925596	8.40400073249897	7.73707280225985
TC03003289.hg.1	MUC4	ENSG00000273984	mucin 4, cell surface associated	2.26531420624585	9.14489383205017	7.39557239333646	0.000365212438358661	0.241455914028082	0.587261390912776	9.67688332346984	10.5632917047229	9.99519571651431	10.2276003656294	7.41021217925596	8.40400073249897	7.73707280225985
TC03003289.hg.1	MUC4	ENSG00000273822	mucin 4, cell surface associated	2.26531420624585	9.14489383205017	7.39557239333646	0.000365212438358661	0.241455914028082	0.587261390912776	9.67688332346984	10.5632917047229	9.99519571651431	10.2276003656294	7.41021217925596	8.40400073249897	7.73707280225985
TC03003289.hg.1	MUC4	ENSG00000278303	mucin 4, cell surface associated	2.26531420624585	9.14489383205017	7.39557239333646	0.000365212438358661	0.241455914028082	0.587261390912776	9.67688332346984	10.5632917047229	9.99519571651431	10.2276003656294	7.41021217925596	8.40400073249897	7.73707280225985
TC03003289.hg.1	MUC4	ENSG00000275164	mucin 4, cell surface associated	2.26531420624585	9.14489383205017	7.39557239333646	0.000365212438358661	0.241455914028082	0.587261390912776	9.67688332346984	10.5632917047229	9.99519571651431	10.2276003656294	7.41021217925596	8.40400073249897	7.73707280225985
TC03003289.hg.1	MUC4	ENSG00000277585	mucin 4, cell surface associated	2.26531420624585	9.14489383205017	7.39557239333646	0.000365212438358661	0.241455914028082	0.587261390912776	9.67688332346984	10.5632917047229	9.99519571651431	10.2276003656294	7.41021217925596	8.40400073249897	7.73707280225985
TC03003290.hg.1	MUC4	ENSG00000145113	mucin 4, cell surface associated	2.63190180697774	9.09967733022187	7.22152942677113	0.000414427657632409	0.241455914028082	0.491067891774852	9.6382738490895	10.690901635499	10.054316366193	10.5270491392107	7.08958747779503	8.20608816157687	7.49152468218902
TC03003290.hg.1	MUC4	ENSG00000278468	mucin 4, cell surface associated	2.63190180697774	9.09967733022187	7.22152942677113	0.000414427657632409	0.241455914028082	0.491067891774852	9.6382738490895	10.690901635499	10.054316366193	10.5270491392107	7.08958747779503	8.20608816157687	7.49152468218902
TC03003290.hg.1	MUC4	ENSG00000276613	mucin 4, cell surface associated	2.63190180697774	9.09967733022187	7.22152942677113	0.000414427657632409	0.241455914028082	0.491067891774852	9.6382738490895	10.690901635499	10.054316366193	10.5270491392107	7.08958747779503	8.20608816157687	7.49152468218902
TC03003290.hg.1	MUC4	ENSG00000273984	mucin 4, cell surface associated	2.63190180697774	9.09967733022187	7.22152942677113	0.000414427657632409	0.241455914028082	0.491067891774852	9.6382738490895	10.690901635499	10.054316366193	10.5270491392107	7.08958747779503	8.20608816157687	7.49152468218902
TC03003290.hg.1	MUC4	ENSG00000273822	mucin 4, cell surface associated	2.63190180697774	9.09967733022187	7.22152942677113	0.000414427657632409	0.241455914028082	0.491067891774852	9.6382738490895	10.690901635499	10.054316366193	10.5270491392107	7.08958747779503	8.20608816157687	7.49152468218902
TC03003290.hg.1	MUC4	ENSG00000278303	mucin 4, cell surface associated	2.63190180697774	9.09967733022187	7.22152942677113	0.000414427657632409	0.241455914028082	0.491067891774852	9.6382738490895	10.690901635499	10.054316366193	10.5270491392107	7.08958747779503	8.20608816157687	7.49152468218902
TC03003290.hg.1	MUC4	ENSG00000275164	mucin 4, cell surface associated	2.63190180697774	9.09967733022187	7.22152942677113	0.000414427657632409	0.241455914028082	0.491067891774852	9.6382738490895	10.690901635499	10.054316366193	10.5270491392107	7.08958747779503	8.20608816157687	7.49152468218902
TC03003290.hg.1	MUC4	ENSG00000277585	mucin 4, cell surface associated	2.63190180697774	9.09967733022187	7.22152942677113	0.000414427657632409	0.241455914028082	0.491067891774852	9.6382738490895	10.690901635499	10.054316366193	10.5270491392107	7.08958747779503	8.20608816157687	7.49152468218902
TC03003333.hg.1	ETV5	ENSG00000244405	ETS variant transcription factor 5	-0.928162274210299	6.51897110459161	-6.68361553940065	0.000622728319089921	0.252225615768465	0.1722391355952	6.36761823730922	5.91197763272567	6.22720245966495	5.97795076144894	6.99644875377386	6.91666312456193	7.23493676265669
TC04000196.hg.1	PCDH7	ENSG00000169851	protocadherin 7	0.813797300065107	5.97667265606854	8.59486293976997	0.000162700246299455	0.241455914028082	1.16928378065063	6.26565074729189	6.16751124678541	6.49109971185403	6.37751000416873	5.61231698305772	5.54647091921556	5.37614898010645
