SYMBOL	ENSEMBL	GENENAME	GENETYPE	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
24	AFF3	ENSG00000144218	AF4/FMR2 family member 3	protein-coding	295.516737616081	-1.72517184909025	0.110375304457457	-15.6300529141933	4.5442554491554e-55	2.29079601723369e-52
25	AFP	ENSG00000081051	alpha fetoprotein	protein-coding	3.76321655003978	2.29684253418214	0.316211559217958	7.26362609849748	3.7684879382207e-13	3.83050882962902e-12
26	AGBL1	ENSG00000273540	AGBL carboxypeptidase 1	protein-coding	18.9370771634471	-1.76322678568756	0.187696232770131	-9.39404462020801	5.77394294213328e-21	1.35807797927705e-19
27	AGBL2	ENSG00000165923	AGBL carboxypeptidase 2	protein-coding	478.167520018571	1.6331124703179	0.19828186661236	8.23631781473304	1.77591784199539e-16	2.68867042117679e-15
28	AGBL2	ENSG00000285501	AGBL carboxypeptidase 2	protein-coding	478.167520018571	1.6331124703179	0.19828186661236	8.23631781473304	1.77591784199539e-16	2.68867042117679e-15
29	AGER	ENSG00000204305	advanced glycosylation end-product specific receptor	protein-coding	12769.4538450503	-2.25948141410047	0.160525506668846	-14.0755289361063	5.37015832170924e-45	1.07703433351098e-42
30	AGER	ENSG00000231268	advanced glycosylation end-product specific receptor	protein-coding	12769.4538450503	-2.25948141410047	0.160525506668846	-14.0755289361063	5.37015832170924e-45	1.07703433351098e-42
31	AGER	ENSG00000229058	advanced glycosylation end-product specific receptor	protein-coding	12769.4538450503	-2.25948141410047	0.160525506668846	-14.0755289361063	5.37015832170924e-45	1.07703433351098e-42
32	AGER	ENSG00000237405	advanced glycosylation end-product specific receptor	protein-coding	12769.4538450503	-2.25948141410047	0.160525506668846	-14.0755289361063	5.37015832170924e-45	1.07703433351098e-42
33	AGER	ENSG00000230514	advanced glycosylation end-product specific receptor	protein-coding	12769.4538450503	-2.25948141410047	0.160525506668846	-14.0755289361063	5.37015832170924e-45	1.07703433351098e-42
34	AGER	ENSG00000206320	advanced glycosylation end-product specific receptor	protein-coding	12769.4538450503	-2.25948141410047	0.160525506668846	-14.0755289361063	5.37015832170924e-45	1.07703433351098e-42
35	AGER	ENSG00000234729	advanced glycosylation end-product specific receptor	protein-coding	12769.4538450503	-2.25948141410047	0.160525506668846	-14.0755289361063	5.37015832170924e-45	1.07703433351098e-42
36	AGRP	ENSG00000159723	agouti related neuropeptide	protein-coding	249.602379946886	-1.68789676708186	0.168516912661776	-10.0161861526004	1.29400250395558e-23	3.8129122754786e-22
37	AKAP14	ENSG00000186471	A-kinase anchoring protein 14	protein-coding	582.88736426905	1.79616333007803	0.274289271740063	6.54842720855743	5.81461860519498e-11	4.50391471030302e-10
38	AKR1B10	ENSG00000198074	aldo-keto reductase family 1 member B10	protein-coding	5.52915003268176	1.51809227101365	0.333954400391622	4.54580705998607	5.47251504675481e-06	2.17640406507613e-05
39	AKR1D1	ENSG00000122787	aldo-keto reductase family 1 member D1	protein-coding	10.1998485046964	2.26155365034091	0.178132539359794	12.6959041760079	6.23061858372084e-37	6.5288481923349e-35
40	ALDH1A3	ENSG00000184254	aldehyde dehydrogenase 1 family member A3	protein-coding	847.410412548468	2.20870557036598	0.147594069671084	14.9647311391855	1.24827357271502e-50	4.0142756341863e-48
41	ALDH3A1	ENSG00000108602	aldehyde dehydrogenase 3 family member A1	protein-coding	476.914388404081	1.67997169420389	0.210972589368889	7.96298561452658	1.67936991754528e-15	2.23740055014676e-14
42	ALDH3B2	ENSG00000132746	aldehyde dehydrogenase 3 family member B2	protein-coding	70.3825061879833	1.90532772209082	0.17997440681433	10.5866592690396	3.43637641391302e-26	1.27934716311987e-24
43	ALKAL1	ENSG00000196711	ALK and LTK ligand 1	protein-coding	10.7815048219215	1.71426377997915	0.351454394887887	4.8776279509209	1.07369199424595e-06	4.734397890467e-06
44	ALOX15	ENSG00000161905	arachidonate 15-lipoxygenase	protein-coding	796.494027347604	1.7117685085074	0.26517330017962	6.45528229029054	1.08017362946654e-10	8.09782899389467e-10
45	ALPP	ENSG00000163283	alkaline phosphatase, placental	protein-coding	76.8418012497053	-2.09186575853962	0.204606508961563	-10.2238475655366	1.55061273167819e-24	4.95240216973658e-23
46	AMER2	ENSG00000165566	APC membrane recruitment protein 2	protein-coding	4.77397164745413	-1.56816475812909	0.204055252952345	-7.68500068212074	1.52996178470362e-14	1.82127879981036e-13
47	AMPD1	ENSG00000116748	adenosine monophosphate deaminase 1	protein-coding	180.113469935954	2.01349092098435	0.211295901059285	9.52924742453671	1.58427531353689e-21	3.91908529815517e-20
48	ANKFN1	ENSG00000153930	ankyrin repeat and fibronectin type III domain containing 1	protein-coding	98.227903381893	1.56204164133058	0.203146514893356	7.68923671740365	1.48015385576316e-14	1.76746669127365e-13
49	ANKRD1	ENSG00000148677	ankyrin repeat domain 1	protein-coding	1854.4345202802	-1.77359044844054	0.264997937010764	-6.69284624796342	2.18871073251164e-11	1.77649402013956e-10
50	ANKRD66	ENSG00000230062	ankyrin repeat domain 66	protein-coding	335.481189036356	1.66659437762973	0.272877891895476	6.10747307542271	1.01220880895944e-09	6.60591977071782e-09
51	ANKUB1	ENSG00000206199	ankyrin repeat and ubiquitin domain containing 1	protein-coding	153.524871001177	1.78632399209178	0.22306886706407	8.00794846722702	1.16637756821374e-15	1.58797623374618e-14
52	APOA1	ENSG00000118137	apolipoprotein A1	protein-coding	54.0047380912239	-1.54223833652359	0.129097417987032	-11.9463143459501	6.78688710854701e-33	4.62003716600799e-31
53	APOA5	ENSG00000110243	apolipoprotein A5	protein-coding	4.44325492155945	-2.89103556695004	0.28108974066577	-10.2850981330821	8.22582382678805e-25	2.66831419160436e-23
54	APOBEC4	ENSG00000173627	apolipoprotein B mRNA editing enzyme catalytic polypeptide like 4	protein-coding	52.8768244045718	1.89698804083213	0.322946945530311	5.87399282478764	4.25421793093644e-09	2.55389999510223e-08
55	APOC3	ENSG00000110245	apolipoprotein C3	protein-coding	2.44729301679263	-2.66961219889702	0.546588792164631	-4.88413271030436	1.03885091381694e-06	4.59706933440418e-06
56	AQP2	ENSG00000167580	aquaporin 2	protein-coding	8.78195391753314	1.53171131629803	0.177657351493236	8.62171648639235	6.59578455521984e-18	1.16721606758976e-16
57	AQP5	ENSG00000161798	aquaporin 5	protein-coding	152.78426659399	2.2457976939946	0.205940708536841	10.9050692791651	1.09010202299248e-27	4.6442318203007e-26
58	ARC	ENSG00000198576	activity regulated cytoskeleton associated protein	protein-coding	98.5422845327258	-1.65712427967257	0.287235929715859	-5.76920958778324	7.96442012995978e-09	4.60770360620378e-08
59	ARG1	ENSG00000118520	arginase 1	protein-coding	131.0819404842	-2.00692095179638	0.212165127282209	-9.45924043929659	3.10188171746059e-21	7.54319397575945e-20
60	ARHGAP40	ENSG00000124143	Rho GTPase activating protein 40	protein-coding	79.5573524608699	1.87911803105697	0.169751963080736	11.069786746226	1.75818499882513e-28	8.17797172022103e-27
61	ARL14	ENSG00000179674	ADP ribosylation factor like GTPase 14	protein-coding	7.86704548769538	1.69686142238022	0.215342824339442	7.87981409450392	3.27868520931041e-15	4.24975931369407e-14
62	ARMC3	ENSG00000165309	armadillo repeat containing 3	protein-coding	438.479710377094	1.73418017028562	0.248990694776106	6.96483927580107	3.28778884303464e-12	2.9567906220001e-11
63	ASB5	ENSG00000164122	ankyrin repeat and SOCS box containing 5	protein-coding	31.5265921918407	2.16142373650314	0.221852448805006	9.74261834000715	1.98375882411865e-22	5.26331004089063e-21
64	ASIC1	ENSG00000110881	acid sensing ion channel subunit 1	protein-coding	91.3630296048666	1.73303984561052	0.13287283582834	13.0428453250554	6.98025946663902e-39	8.45427269946436e-37
65	ASPG	ENSG00000166183	asparaginase	protein-coding	144.874627655888	-1.87163413676023	0.171879955376214	-10.889193755395	1.297841177707e-27	5.47677231823325e-26
66	ATP12A	ENSG00000075673	ATPase H+/K+ transporting non-gastric alpha2 subunit	protein-coding	123.507700934256	2.92587062087153	0.281383901949945	10.3981450274722	2.52806545759357e-25	8.57335943909731e-24
67	ATP6V0A4	ENSG00000105929	ATPase H+ transporting V0 subunit a4	protein-coding	20.4273035587181	1.62964526764171	0.238192919483985	6.8417032343872	7.82570789327224e-12	6.71103924714087e-11
68	ATP6V1G3	ENSG00000151418	ATPase H+ transporting V1 subunit G3	protein-coding	1.2761736189281	2.13344810183708	0.715434361158896	2.98203192027457	0.00286342142150256	0.00707960450077753
69	ATP6V1G3	ENSG00000263014	ATPase H+ transporting V1 subunit G3	protein-coding	1.2761736189281	2.13344810183708	0.715434361158896	2.98203192027457	0.00286342142150256	0.00707960450077753
70	AVPR1A	ENSG00000166148	arginine vasopressin receptor 1A	protein-coding	73.0398710490474	1.62295175592787	0.175752956314295	9.23427855759982	2.60032391516172e-20	5.74659261440716e-19
71	B3GALT5	ENSG00000183778	beta-1,3-galactosyltransferase 5	protein-coding	8.17085814175311	1.50073488908987	0.214315494326112	7.00245632640208	2.51513302362989e-12	2.2895198221935e-11
72	B3GNT3	ENSG00000179913	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 3	protein-coding	156.717802165322	2.96689341890949	0.192950720502586	15.3764308896153	2.35580752292845e-53	9.764560426147e-51
73	B3GNT6	ENSG00000198488	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6	protein-coding	12.1477193537586	2.29446392395373	0.253480945138211	9.05182013860122	1.40604759791147e-19	2.88828191588598e-18
74	BAAT	ENSG00000136881	bile acid-CoA:amino acid N-acyltransferase	protein-coding	55.9605408505647	3.18039980198905	0.195055447086392	16.3051063146184	9.07808471299378e-60	7.69656527576182e-57
75	BAAT	ENSG00000276559	bile acid-CoA:amino acid N-acyltransferase	protein-coding	55.9605408505647	3.18039980198905	0.195055447086392	16.3051063146184	9.07808471299378e-60	7.69656527576182e-57
76	BARX2	ENSG00000043039	BARX homeobox 2	protein-coding	60.0835131754236	2.16711705216622	0.191193078667261	11.3347045158351	8.83297038132475e-30	4.56378292389112e-28
77	BBOX1	ENSG00000129151	gamma-butyrobetaine hydroxylase 1	protein-coding	41.0006913362119	2.02960175581645	0.203557213855377	9.97066975606399	2.04842795024709e-23	5.92360901209439e-22
78	BCAS1	ENSG00000064787	brain enriched myelin associated protein 1	protein-coding	188.547284150907	1.59759805708765	0.186220808103055	8.57905232697487	9.56579558140149e-18	1.64609645683064e-16
79	BCL2L10	ENSG00000137875	BCL2 like 10	protein-coding	5.34717847366967	1.70441578465338	0.198432754796231	8.58938730354087	8.74343183850017e-18	1.51422925396198e-16
80	BDKRB2	ENSG00000168398	bradykinin receptor B2	protein-coding	381.35859434335	2.11537142792734	0.154745037306145	13.6700437361512	1.53303018234906e-42	2.44393837274997e-40
81	BFSP2	ENSG00000170819	beaded filament structural protein 2	protein-coding	28.511130578381	1.78440571899764	0.182252414011519	9.79084819630898	1.23257516027979e-22	3.3126789466194e-21
82	BHLHA15	ENSG00000180535	basic helix-loop-helix family member a15	protein-coding	116.102225338988	1.90473671066125	0.161343793868585	11.8054538386067	3.65811871696073e-32	2.31292306131361e-30
83	BMP15	ENSG00000130385	bone morphogenetic protein 15	protein-coding	4.94654602017846	2.00794435503126	0.301941623960563	6.65010782115129	2.92878387544856e-11	2.33951506830264e-10
84	BNC1	ENSG00000169594	basonuclin 1	protein-coding	31.2377131804845	2.89136137976789	0.238335116571321	12.1314954395428	7.1923863991654e-34	5.43127089543454e-32
85	BPIFA1	ENSG00000198183	BPI fold containing family A member 1	protein-coding	1705.7840860628	3.01821983812439	0.405382565577499	7.44536172596544	9.66791463977096e-14	1.04658121799772e-12
86	BPIFB1	ENSG00000125999	BPI fold containing family B member 1	protein-coding	266.813408654841	3.38340576586125	0.279149466553023	12.1204092117389	8.23469491343299e-34	6.19328748086097e-32
87	BPIFB4	ENSG00000186191	BPI fold containing family B member 4	protein-coding	3.23554377971819	1.9874107243947	0.345689778977977	5.74911624598919	8.97111246308513e-09	5.15176076543916e-08
88	BRINP1	ENSG00000078725	BMP/retinoic acid inducible neural specific 1	protein-coding	1.35291777609413	-1.84476773350397	0.526264741977286	-3.50539868312818	0.000455923993009259	0.00132296320489848
89	BTG4	ENSG00000137707	BTG anti-proliferation factor 4	protein-coding	40.0113498457713	1.52920370282227	0.294882773760946	5.18580208439696	2.15087134377473e-07	1.04067580555347e-06
90	BTNL3	ENSG00000168903	butyrophilin like 3	protein-coding	27.9348166107341	-1.86754944886031	0.316633161206021	-5.89814863909711	3.67602759014288e-09	2.22976476784862e-08
91	BTNL8	ENSG00000113303	butyrophilin like 8	protein-coding	162.00174942867	-1.99286145840652	0.136236085613744	-14.6279999856769	1.86180013553286e-48	5.10680825411161e-46
92	BTNL9	ENSG00000165810	butyrophilin like 9	protein-coding	2945.51206242041	-2.1011619667159	0.181469296181828	-11.5786086733405	5.28976027585821e-31	2.99892427554126e-29
93	C11orf16	ENSG00000176029	chromosome 11 open reading frame 16	protein-coding	606.058608300843	1.69968893607482	0.257587537544156	6.59849056472098	4.15364909173801e-11	3.26480669444153e-10
94	C11orf86	ENSG00000173237	chromosome 11 open reading frame 86	protein-coding	0.85674884596543	2.48324807972484	0.407990336161522	6.08653651723196	1.15379351159782e-09	7.47501096850382e-09
95	C11orf97	ENSG00000257057	chromosome 11 open reading frame 97	protein-coding	359.946294008574	1.68508428785399	0.283692573535196	5.93982516657218	2.85326202803499e-09	1.76047116595794e-08
96	C13orf42	ENSG00000226792	chromosome 13 open reading frame 42	protein-coding	7.18381826838394	-1.61337734082483	0.194435958768055	-8.29773129953523	1.0611835511261e-16	1.6453196671325e-15
97	C19orf84	ENSG00000262874	chromosome 19 open reading frame 84	protein-coding	2.31379338395599	-1.65398977258716	0.391577001038896	-4.22391960763514	2.40089722639663e-05	8.61514718483069e-05
98	C1orf141	ENSG00000203963	chromosome 1 open reading frame 141	protein-coding	100.026609193661	1.5631561284044	0.270064392088963	5.78808674595455	7.11926457322614e-09	4.15483488172134e-08
99	C1orf158	ENSG00000157330	chromosome 1 open reading frame 158	protein-coding	210.443916294044	1.68055253169578	0.273828219963536	6.13725105440032	8.39616443922125e-10	5.55929212354827e-09
100	C1orf194	ENSG00000179902	chromosome 1 open reading frame 194	protein-coding	3117.99595134212	1.79070437756544	0.274510746972953	6.52325782255031	6.8796454362601e-11	5.27845111794008e-10
101	C1orf232	ENSG00000282872	chromosome 1 open reading frame 230	protein-coding	3.24294229787312	2.20523740656382	0.73321935121222	3.00760939126598	0.00263311339087445	0.0065693995407424
102	C1orf87	ENSG00000162598	chromosome 1 open reading frame 87	protein-coding	333.901945207665	1.58220949897965	0.252009005114152	6.27838476749257	3.42108438590936e-10	2.38899535627036e-09
103	C1QTNF8	ENSG00000184471	C1q and TNF related 8	protein-coding	16.9279381973825	1.98337825237765	0.308643412582305	6.42611561278258	1.30905856663679e-10	9.68526790357374e-10
104	C20orf141	ENSG00000258713	chromosome 20 open reading frame 141	protein-coding	1.81722472195196	1.59510513846716	0.539108165272076	2.95878497344247	0.00308854527500556	0.00757396088211987
105	C20orf85	ENSG00000124237	chromosome 20 open reading frame 85	protein-coding	4818.37230736205	1.87056933126263	0.273176793790581	6.84746791741256	7.51685423621904e-12	6.46997532136399e-11
106	C22orf15	ENSG00000169314	chromosome 22 open reading frame 15	protein-coding	643.739830839346	1.85845924375263	0.232925128195474	7.97878381843365	1.47782143814583e-15	1.99164201331618e-14
107	C22orf15	ENSG00000273579	chromosome 22 open reading frame 15	protein-coding	643.739830839346	1.85845924375263	0.232925128195474	7.97878381843365	1.47782143814583e-15	1.99164201331618e-14
108	C2orf50	ENSG00000150873	chromosome 2 open reading frame 50	protein-coding	146.30521777736	1.51322072201055	0.221241023648965	6.83969318642969	7.93629682961095e-12	6.80274855082277e-11
109	C2orf73	ENSG00000177994	chromosome 2 open reading frame 73	protein-coding	153.787299225028	1.5658922603925	0.219436143471265	7.13598150068452	9.60989351879994e-13	9.29687416559422e-12
110	C4orf51	ENSG00000237136	chromosome 4 open reading frame 51	protein-coding	23.2883170885807	-1.8828188537489	0.299578927418301	-6.28488415381742	3.28098258896257e-10	2.29804308108636e-09
111	C5orf49	ENSG00000215217	chromosome 5 open reading frame 49	protein-coding	609.16937634202	1.7076487961104	0.243860863503832	7.00255371679831	2.51338468878285e-12	2.2890454694911e-11
112	C6	ENSG00000039537	complement C6	protein-coding	394.838954956935	1.6929118107289	0.202547856430233	8.35808307510784	6.37455526410141e-17	1.00932262127351e-15
113	C6orf118	ENSG00000112539	chromosome 6 open reading frame 118	protein-coding	234.01410109275	1.83673559638194	0.283792058660618	6.47211766619045	9.66388164606542e-11	7.29169581158625e-10
114	C6orf15	ENSG00000204542	chromosome 6 open reading frame 15	protein-coding	1.1530599390755	2.793446221055	0.447690495580886	6.23968176369358	4.38461998135397e-10	3.02783901859364e-09
115	C6orf15	ENSG00000224105	chromosome 6 open reading frame 15	protein-coding	1.1530599390755	2.793446221055	0.447690495580886	6.23968176369358	4.38461998135397e-10	3.02783901859364e-09
116	C6orf15	ENSG00000231624	chromosome 6 open reading frame 15	protein-coding	1.1530599390755	2.793446221055	0.447690495580886	6.23968176369358	4.38461998135397e-10	3.02783901859364e-09
117	C6orf15	ENSG00000229432	chromosome 6 open reading frame 15	protein-coding	1.1530599390755	2.793446221055	0.447690495580886	6.23968176369358	4.38461998135397e-10	3.02783901859364e-09
118	C6orf15	ENSG00000225543	chromosome 6 open reading frame 15	protein-coding	1.1530599390755	2.793446221055	0.447690495580886	6.23968176369358	4.38461998135397e-10	3.02783901859364e-09
119	C6orf15	ENSG00000206461	chromosome 6 open reading frame 15	protein-coding	1.1530599390755	2.793446221055	0.447690495580886	6.23968176369358	4.38461998135397e-10	3.02783901859364e-09
120	C7orf57	ENSG00000164746	chromosome 7 open reading frame 57	protein-coding	112.814513095246	1.51452785708046	0.226807772722495	6.67758357176552	2.42914095272194e-11	1.95631852548228e-10
121	C8B	ENSG00000021852	complement C8 beta chain	protein-coding	121.111914953153	-1.79448920206081	0.241370804475421	-7.43457439254441	1.04905176571061e-13	1.13103546439505e-12
122	C9orf135	ENSG00000204711	chromosome 9 open reading frame 135	protein-coding	407.223452190142	1.78376746241693	0.28791658501971	6.19543143822304	5.8125590603304e-10	3.9366685400611e-09
123	C9orf24	ENSG00000164972	chromosome 9 open reading frame 24	protein-coding	4060.90151825563	1.75516303098912	0.257814447045842	6.8078536757757	9.90655448915337e-12	8.36473763384738e-11
124	CA1	ENSG00000133742	carbonic anhydrase 1	protein-coding	83.7806289374577	-1.68243083021433	0.207206748184631	-8.11957547210389	4.67817191709438e-16	6.665948250393e-15
125	CA2	ENSG00000104267	carbonic anhydrase 2	protein-coding	219.276953531173	-1.52972879203666	0.176846258979509	-8.65004892308132	5.14773577005624e-18	9.14433976981799e-17
126	CA4	ENSG00000167434	carbonic anhydrase 4	protein-coding	1067.98890796669	-2.54037036127698	0.222129947126149	-11.436415459255	2.75014797196395e-30	1.46979254937168e-28
127	CABP5	ENSG00000105507	calcium binding protein 5	protein-coding	4.08696678652512	-1.91970327438468	0.271715572303846	-7.06512055274467	1.60476615145015e-12	1.50186142783985e-11
128	CACNA1G	ENSG00000006283	calcium voltage-gated channel subunit alpha1 G	protein-coding	25.4133005140965	1.56218097620501	0.133346417934999	11.7152076553456	1.06529902079231e-31	6.3482291807726e-30
129	CACNA1S	ENSG00000081248	calcium voltage-gated channel subunit alpha1 S	protein-coding	5.0858210976288	-2.07821513952437	0.200003449728323	-10.3908964687726	2.72777063517718e-25	9.21709744335595e-24
130	CACNG6	ENSG00000130433	calcium voltage-gated channel auxiliary subunit gamma 6	protein-coding	326.499656158108	1.84132783804033	0.256900735079971	7.16746815639564	7.63974299433373e-13	7.49586987534522e-12
131	CACNG7	ENSG00000105605	calcium voltage-gated channel auxiliary subunit gamma 7	protein-coding	0.390813336795934	1.82748929440874	0.678355674468069	2.69399868415896	0.00706004434323593	0.0160004795978173
132	CALCR	ENSG00000004948	calcitonin receptor	protein-coding	2.69315729593364	-1.77514000197457	0.318259043491047	-5.57765769199426	2.43778764276976e-08	1.33302888047322e-07
133	CALML3	ENSG00000178363	calmodulin like 3	protein-coding	6.73127412473094	3.76977663234108	0.363264790128695	10.3774897396622	3.13920909491073e-25	1.05310302227113e-23
134	CALML5	ENSG00000178372	calmodulin like 5	protein-coding	2.35260798723945	1.52755633617989	0.483565698097938	3.15894270869169	0.00158342614354347	0.00413049707542281
135	CAMP	ENSG00000164047	cathelicidin antimicrobial peptide	protein-coding	300.292598947031	-1.86469883577253	0.187309771974719	-9.9551604602039	2.39436306644657e-23	6.87071691005561e-22
136	CAPN13	ENSG00000162949	calpain 13	protein-coding	1241.82554014582	1.96923496267316	0.15714219424176	12.5315480808645	5.01736322144634e-36	4.75044968560493e-34
137	CAPS	ENSG00000105519	calcyphosine	protein-coding	4352.39359446473	1.55514009195023	0.24833748305303	6.26220445190768	3.79572817584355e-10	2.6377765251801e-09
138	CAPSL	ENSG00000152611	calcyphosine like	protein-coding	1259.03974697584	1.90514779379408	0.280333078770363	6.79601494818489	1.07552623749813e-11	9.04450648413667e-11
139	CASKIN2	ENSG00000177303	CASK interacting protein 2	protein-coding	274.471141530358	-1.52868364083113	0.145852285643635	-10.4810400062307	1.05576279951133e-25	3.74374291568161e-24
140	CATSPERD	ENSG00000174898	cation channel sperm associated auxiliary subunit delta	protein-coding	629.254121594964	1.56855583785577	0.288928139153556	5.42887876013396	5.67091894673536e-08	2.97034485241527e-07
141	CAV3	ENSG00000182533	caveolin 3	protein-coding	41.7284354509795	-1.81269555283631	0.159748859216091	-11.347158043766	7.66124951779741e-30	3.9804352647899e-28
142	CBARP	ENSG00000099625	CACN subunit beta associated regulatory protein	protein-coding	80.2122989917794	1.50043416524312	0.20664244994672	7.26101614469818	3.84193082290366e-13	3.89666632456765e-12
143	CBLN4	ENSG00000054803	cerebellin 4 precursor	protein-coding	108.296265744209	1.896864518407	0.237514344841598	7.986315604104	1.39031472634121e-15	1.88186867022614e-14
144	CCDC103	ENSG00000167131	coiled-coil domain containing 103	protein-coding	87.3589065429834	1.50510988254812	0.194893154606703	7.72274370326373	1.13851957422559e-14	1.37536704005542e-13
145	CCDC113	ENSG00000103021	coiled-coil domain containing 113	protein-coding	330.255595608734	1.60599454333118	0.201266282443949	7.97945151979662	1.46984962031688e-15	1.98233081114609e-14
146	CCDC160	ENSG00000203952	coiled-coil domain containing 160	protein-coding	50.6422512092543	1.73970132263519	0.192678124811401	9.02905466999984	1.73161147724555e-19	3.54923266742681e-18
147	CCDC17	ENSG00000159588	coiled-coil domain containing 17	protein-coding	1454.43274735957	1.81826174717869	0.223603180890687	8.13164526522357	4.2350261464653e-16	6.05764629477536e-15
148	CCDC185	ENSG00000178395	coiled-coil domain containing 185	protein-coding	0.726530329507833	1.72545636241314	0.276605672882652	6.23796448001683	4.43301278167948e-10	3.05899202382115e-09
149	CCDC187	ENSG00000260220	coiled-coil domain containing 187	protein-coding	202.606473175845	1.8349454322056	0.263141604952697	6.9732242931917	3.09758172539751e-12	2.79111566870118e-11
150	CCDC190	ENSG00000185860	coiled-coil domain containing 190	protein-coding	266.143101128551	1.8576937433232	0.270446451301677	6.86898916359226	6.46584171787621e-12	5.6276658759602e-11
